!,consonant
aa9,raised
aa9,low
aa9,front
aai,diphthong
aai,raised
aai,low
aai,front
aai,unrounded
aai,to
aai,high
aai,front
aai,unrounded
aau+,diphthong
aau+,raised
aau+,low
aau+,front
aau+,unrounded
aau+,to
aau+,high
aau+,central
aau+,rounded
aE,diphthong
aE,low
aE,central
aE,unrounded
aE,to
aE,lower
aE,mid
aE,front
aE,unrounded
ae,diphthong
ae,low
ae,central
ae,unrounded
ae,to
ae,mid
ae,front
ae,unrounded
ae9,diphthong
ae9,pharyngealized
ae9,low
ae9,central
ae9,unrounded
ae9,to
ae9,mid
ae9,front
ae9,unrounded
ae9~,diphthong
ae9~,nasalized
ae9~,pharyngealized
ae9~,low
ae9~,central
ae9~,unrounded
ae9~,to
ae9~,mid
ae9~,front
ae9~,unrounded
ah,vowel
ah,slack
ah,spread
ah,rtr
ah,low
ai,diphthong
ai,low
ai,central
ai,unrounded
ai,to
ai,high
ai,front
ai,unrounded
ai_,diphthong
ai_,low
ai_,central
ai_,unrounded
ai_,to
ai_,high
ai_,central
ai_,unrounded
ai~,diphthong
ai~,nasalized
ai~,low
ai~,central
ai~,unrounded
ai~,to
ai~,high
ai~,front
ai~,unrounded
aih,diphthong
aih,breathy
aih,voiced
aih,low
aih,central
aih,unrounded
aih,to
aih,high
aih,front
aih,unrounded
ao,diphthong
ao,low
ao,central
ao,unrounded
ao,to
ao,mid
ao,back
ao,rounded
ao9,diphthong
ao9,pharyngealized
ao9,low
ao9,central
ao9,unrounded
ao9,to
ao9,mid
ao9,back
ao9,rounded
ao9~,diphthong
ao9~,nasalized
ao9~,pharyngealized
ao9~,low
ao9~,central
ao9~,unrounded
ao9~,to
ao9~,mid
ao9~,back
ao9~,rounded
aS,vowel
aS,SHORTENED
aS,rtr
aS,low
au,diphthong
au,low
au,central
au,unrounded
au,to
au,high
au,back
au,rounded
auh,diphthong
auh,breathy
auh,voiced
auh,low
auh,central
auh,unrounded
auh,to
auh,high
auh,back
auh,rounded
auu,diphthong
auu,low
auu,central
auu,unrounded
auu,to
auu,high
auu,back
auu,unrounded
auuh,diphthong
auuh,breathy
auuh,voiced
